OBJECTID,STATE,LEVEL_,DEFINITION,SOURCE,SOURCEDATE
182,SD,TRH,"Trauma Receiving Hospital. 24/7 emergency department coverage by physician, physician assistant or nurse practitioner. No surgical services required",https://doh.sd.gov/providers/ruralhealth/trauma/designations.aspx,2016-06-08T00:00:00.000Z
183,TN,I,"Regional Level. Level I Trauma Centers generally serve large cities or population-dense areas. A Level I Trauma Center is responsible for providing leadership in research, professional and community education.",https://www.tn.gov/assets/entities/health/attachments/g4024233.pdf,2016-06-08T00:00:00.000Z
184,TN,II,"A Level II Trauma Center provides comprehensive trauma care and serves as a lead trauma facility for a geographical area. A Level II Trauma Center provides educational outreach and prevention programs and assumes responsibility for trauma system leadership. There are emergency physicians and nurses in-house to initiate resuscitation and stabilization, with surgical teams on call and promptly available.",https://www.tn.gov/assets/entities/health/attachments/g4024233.pdf,2016-06-08T00:00:00.000Z
185,TN,III,"The Level III Trauma Center provides assessment, resuscitation, emergency surgery, and stabilization and, for the most critically injured patients, arranges for transfer to a Level I or Level II trauma center that can provide further definitive care. A general surgeon must be promptly available and the facility must be involved with prevention and have an active outreach program for its referring communities.",https://www.tn.gov/assets/entities/health/attachments/g4024233.pdf,2016-06-08T00:00:00.000Z
186,TN,RPTC,Regional Pediatric Trauma Center,https://www.tn.gov/assets/entities/health/attachments/g4024233.pdf,2016-06-08T00:00:00.000Z
187,TX,I,"Level I Trauma Centers generally serve large cities or population-dense areas. A Level I Trauma Center is responsible for providing leadership in research, professional and community education. Full-time general surgery, neuro surgery, and orthopedic surgery capabilities.",https://www.dshs.state.tx.us/emstraumasystems/spolicy.shtm,2016-06-09T00:00:00.000Z
188,TX,II,"A Level II Trauma Center provides comprehensive trauma care and serves as a lead trauma facility for a geographical area. A Level II Trauma Center provides educational outreach and prevention programs and assumes responsibility for trauma system leadership. There are emergency physicians and nurses in-house to initiate resuscitation and stabilization, with surgical teams on call and promptly available.  Full-time general surgery, neuro surgery, and orthopedic surgery capabilities.",https://www.dshs.state.tx.us/emstraumasystems/spolicy.shtm,2016-06-09T00:00:00.000Z
189,TX,III,"The Level III Trauma Center provides assessment, resuscitation, emergency surgery, and stabilization and, for the most critically injured patients, arranges for transfer to a Level I or Level II trauma center that can provide further definitive care. A general surgeon must be promptly available and the facility must be involved with prevention and have an active outreach program for its referring communities. Full time general surgery and orthopedic capabilities, but does not have full-time neurosurgery capability.",https://www.dshs.state.tx.us/emstraumasystems/spolicy.shtm,2016-06-09T00:00:00.000Z
190,TX,IV,Level IV Trauma Centers are small rural facilities that provide initial evaluation and assessment of injured patients prior to transfer to a larger referral facility.,https://www.dshs.state.tx.us/emstraumasystems/spolicy.shtm,2016-06-09T00:00:00.000Z
191,UT,I,Level I Trauma Center is a comprehensive regional resource that is a tertiary care facility central to the trauma system. A Level I Trauma Center is capable of providing total care for every aspect of injury – from prevention through rehabilitation.,https://health.utah.gov/ems/trauma/,2016-06-09T00:00:00.000Z
192,UT,II,A Level II Trauma Center is able to initiate definitive care for all injured patients.,https://health.utah.gov/ems/trauma/,2016-06-09T00:00:00.000Z
193,UT,III,"A Level III Trauma Center has demonstrated an ability to provide prompt assessment, resuscitation, surgery, intensive care and stabilization of injured patients and emergency operations.",https://health.utah.gov/ems/trauma/,2016-06-09T00:00:00.000Z
194,UT,IV,"A Level IV Trauma Center has demonstrated an ability to provide advanced trauma life support (ATLS) prior to transfer of patients to a higher level trauma center.  It provides evaluation, stabilization, and diagnostic capabilities for injured patients.",https://health.utah.gov/ems/trauma/,2016-06-09T00:00:00.000Z
195,UT,V,"A Level V Trauma Center provides initial evaluation, stabilization and diagnostic capabilities and prepares patients for transfer to higher levels of care",https://health.utah.gov/ems/trauma/,2016-06-09T00:00:00.000Z
196,VA,I,"Level I trauma centers have an organized trauma response and are required to provide total care for every aspect of injury, from prevention through rehabilitation. These facilities must have adequate depth of resources and personnel with the capability of providing leadership, education, research, and system planning.",https://www.vdh.virginia.gov/OEMS/Files_page/trauma/TraumaDesignationLevelInfo.pdf,2016-06-09T00:00:00.000Z
197,VA,II,"Level II trauma centers have an organized trauma response and are also expected to provide initial definitive care, regardless of the severity of injury. The specialty requirements may be fulfilled by on call staff, that are promptly available to the patient. Due to limited resources, Level II centers may have to transfer more complex injuries to a Level I center. Level II centers should also take on responsibility for education and system leadership within their region.",https://www.vdh.virginia.gov/OEMS/Files_page/trauma/TraumaDesignationLevelInfo.pdf,2016-06-09T00:00:00.000Z
198,VA,III,"Level III trauma centers, through an organized trauma response, can provide prompt assessment, resuscitation, stabilization, emergency operations and also arrange for the transfer of the patient to a facility that can provide definitive trauma care. Level III centers should also take on responsibility for education and system leadership within their region.",https://www.vdh.virginia.gov/OEMS/Files_page/trauma/TraumaDesignationLevelInfo.pdf,2016-06-09T00:00:00.000Z
199,VT,I,"No definitions or definition source provided by state, however the SOURCE shown in this table was used to discover trauma levels for the hospitals feature class, minus the definition.",http://www.healthvermont.gov/health-statistics-vital-records/health-care-systems-reporting/hospital-report-cards,2016-03-10T00:00:00.000Z
200,WA,I,Level I Trauma Center is a comprehensive regional resource that is a tertiary care facility central to the trauma system. A Level I Trauma Center is capable of providing total care for every aspect of injury – from prevention through rehabilitation.,http://www.doh.wa.gov/ForPublicHealthandHealthcareProviders/EmergencyMedicalServicesEMSSystems/TraumaSystem/TraumaDesignation,2016-06-10T00:00:00.000Z
201,WA,II,A Level II Trauma Center is able to initiate definitive care for all injured patients.,http://www.doh.wa.gov/ForPublicHealthandHealthcareProviders/EmergencyMedicalServicesEMSSystems/TraumaSystem/TraumaDesignation,2016-06-10T00:00:00.000Z
202,WA,III,"A Level III Trauma Center has demonstrated an ability to provide prompt assessment, resuscitation, surgery, intensive care and stabilization of injured patients and emergency operations.",http://www.doh.wa.gov/ForPublicHealthandHealthcareProviders/EmergencyMedicalServicesEMSSystems/TraumaSystem/TraumaDesignation,2016-06-10T00:00:00.000Z
203,WA,IV,"A Level IV Trauma Center has demonstrated an ability to provide advanced trauma life support (ATLS) prior to transfer of patients to a higher level trauma center.  It provides evaluation, stabilization, and diagnostic capabilities for injured patients",http://www.doh.wa.gov/ForPublicHealthandHealthcareProviders/EmergencyMedicalServicesEMSSystems/TraumaSystem/TraumaDesignation,2016-06-10T00:00:00.000Z
204,WA,V,"A Level V Trauma Center provides initial evaluation, stabilization and diagnostic capabilities and prepares patients for transfer to higher levels of care.",http://www.doh.wa.gov/ForPublicHealthandHealthcareProviders/EmergencyMedicalServicesEMSSystems/TraumaSystem/TraumaDesignation,2016-06-10T00:00:00.000Z
205,WA,I PEDIATRIC,A Level I Pediatric Trauma Center is capable of providing total care for every aspect of pediatric injury – from prevention through rehabilitation.,http://www.doh.wa.gov/ForPublicHealthandHealthcareProviders/EmergencyMedicalServicesEMSSystems/TraumaSystem/TraumaDesignation,2016-06-10T00:00:00.000Z
206,WA,II PEDIATRIC,A Level II Pediatric Trauma Center is able to initiate definitive care for all injured pediatric patients.,http://www.doh.wa.gov/ForPublicHealthandHealthcareProviders/EmergencyMedicalServicesEMSSystems/TraumaSystem/TraumaDesignation,2016-06-10T00:00:00.000Z
207,WA,III PEDIATRIC,"A Level III Pediatric Trauma Center has demonstrated an ability to provide prompt assessment, resuscitation, surgery, intensive care and stabilization of injured pediatric patients and emergency operations.",http://www.doh.wa.gov/ForPublicHealthandHealthcareProviders/EmergencyMedicalServicesEMSSystems/TraumaSystem/TraumaDesignation,2016-06-10T00:00:00.000Z
208,WI,I,"Hospital is characterized by capability to provide leadership and total care for every aspect of traumatic injury from prevention through rehabilitation, including research. ",https://www.dhs.wisconsin.gov/trauma/classification.htm,2016-06-10T00:00:00.000Z
209,WI,II,"Hospital provides the initial definitive trauma care regardless of the severity of injury, but differs from Level I in teaching and research capability.  ",https://www.dhs.wisconsin.gov/trauma/classification.htm,2016-06-10T00:00:00.000Z
210,WI,III,"Hospital provides assessment, resuscitation, stabilization, and emergency surgery and arranges transfer to a Level I or II facility for definitive surgical and intensive care as necessary.  ",https://www.dhs.wisconsin.gov/trauma/classification.htm,2016-06-10T00:00:00.000Z
211,WI,IV,Facility provides stabilization and advanced trauma life support prior to patient transfer to a Level I or II.  ,https://www.dhs.wisconsin.gov/trauma/classification.htm,2016-06-10T00:00:00.000Z
212,WI,UNCLASSIFIED,"Hospital has chosen not to be part of the Trauma Care System or has not been approved as a Level I, II, III or IV.  ",https://www.dhs.wisconsin.gov/trauma/classification.htm,2016-06-10T00:00:00.000Z
213,WV,I,"A Level I center is a tertiary care facility central to the trauma care system. The center must provide leadership and total care for every aspect of injury, from prevention through rehabilitation.",http://www.wvoems.org/designation-and-categorization/trauma-designation/levels-of-designation,2016-06-10T00:00:00.000Z
214,WV,II,"A Level II center is a facility that is also expected to provide initial definitive trauma care, regardless of the severity of injury. The Leve II center can be an academic institution or a public or private community facility.",http://www.wvoems.org/designation-and-categorization/trauma-designation/levels-of-designation,2016-06-10T00:00:00.000Z
215,WV,III,"A Level III center is a facility which serves communities that do not have immediate access to a Level I or II institution. A Level III facility can provide prompt assessment, resuscitation, emergency operations, and stabilization and also arrange for possible transfers to a facility that can provide definitive trauma care.",http://www.wvoems.org/designation-and-categorization/trauma-designation/levels-of-designation,2016-06-10T00:00:00.000Z
216,WV,IV,A Level IV center is a facility which provides advanced trauma life support prior to patient transfer in remote areas where no higher level of care is available. It is the de facto primary care provider.,http://www.wvoems.org/designation-and-categorization/trauma-designation/levels-of-designation,2016-06-10T00:00:00.000Z
217,WY,RTC,Regional Trauma Center (derived from ACS Level II). Able to initiate definitive care for all injured patients.,http://soswy.state.wy.us/Rules/RULES/7258.pdf,2016-06-10T00:00:00.000Z
218,WY,ATH,"Area Trauma Hospital (derived from ACS Level III).   Has demonstrated an ability to provide prompt assessment, resuscitation, surgery, intensive care and stabilization of injured patients and emergency operations.",http://soswy.state.wy.us/Rules/RULES/7258.pdf,2016-06-10T00:00:00.000Z
219,WY,CTH,"Community Trauma Hospital (derived from ACS Level IV). Has demonstrated an ability to provide advanced trauma life support (ATLS) prior to transfer of patients to a higher level trauma center.  It provides evaluation, stabilization, and diagnostic capabilities for injured patients.",http://soswy.state.wy.us/Rules/RULES/7258.pdf,2016-06-10T00:00:00.000Z
220,WY,TRF,"Trauma Receiving Hospital (derived from ACS Level V). Provides initial evaluation, stabilization and diagnostic capabilities and prepares patients for transfer to higher levels of care.",http://soswy.state.wy.us/Rules/RULES/7258.pdf,2016-06-10T00:00:00.000Z
221,ID,LEVEL III/PEDIATRIC,"No definitions or definition source provided by state, however the SOURCE shown in this table was used to discover trauma levels for the hospitals feature class, minus the definition.",http://healthandwelfare.idaho.gov/Portals/0/Medical/LicensingCertification/AlphaHospital.pdf,2016-04-19T00:00:00.000Z
